tas,date, Country, ISO3, ISO2
24.4966,1950-1,KEN,,
24.5292,1950-2,KEN,,
26.1549,1950-3,KEN,,
25.5103,1950-4,KEN,,
24.262,1950-5,KEN,,
22.7452,1950-6,KEN,,
22.1421,1950-7,KEN,,
22.3938,1950-8,KEN,,
23.1094,1950-9,KEN,,
23.8023,1950-10,KEN,,
24.1643,1950-11,KEN,,
24.4687,1950-12,KEN,,
24.8781,1951-1,KEN,,
25.8151,1951-2,KEN,,
26.0774,1951-3,KEN,,
24.6004,1951-4,KEN,,
24.452,1951-5,KEN,,
23.588,1951-6,KEN,,
22.7781,1951-7,KEN,,
23.0892,1951-8,KEN,,
24.1927,1951-9,KEN,,
24.9353,1951-10,KEN,,
24.7792,1951-11,KEN,,
24.5447,1951-12,KEN,,
25.0174,1952-1,KEN,,
26.0298,1952-2,KEN,,
27.2734,1952-3,KEN,,
25.9273,1952-4,KEN,,
25.5807,1952-5,KEN,,
23.8087,1952-6,KEN,,
23.0303,1952-7,KEN,,
23.3035,1952-8,KEN,,
24.6793,1952-9,KEN,,
24.9652,1952-10,KEN,,
25.0397,1952-11,KEN,,
25.0083,1952-12,KEN,,
25.3,1953-1,KEN,,
25.8952,1953-2,KEN,,
26.8019,1953-3,KEN,,
26.2284,1953-4,KEN,,
25.2291,1953-5,KEN,,
24.0612,1953-6,KEN,,
22.865,1953-7,KEN,,
23.4679,1953-8,KEN,,
23.7622,1953-9,KEN,,
24.5507,1953-10,KEN,,
25.1257,1953-11,KEN,,
24.9865,1953-12,KEN,,
25.3593,1954-1,KEN,,
26.323,1954-2,KEN,,
26.9048,1954-3,KEN,,
25.7785,1954-4,KEN,,
25.1327,1954-5,KEN,,
23.3216,1954-6,KEN,,
22.6401,1954-7,KEN,,
22.9019,1954-8,KEN,,
23.6091,1954-9,KEN,,
24.5927,1954-10,KEN,,
24.6496,1954-11,KEN,,
24.4623,1954-12,KEN,,
25.0483,1955-1,KEN,,
25.3504,1955-2,KEN,,
26.3521,1955-3,KEN,,
25.7301,1955-4,KEN,,
24.56,1955-5,KEN,,
23.2265,1955-6,KEN,,
22.9715,1955-7,KEN,,
23.017,1955-8,KEN,,
24.2592,1955-9,KEN,,
24.8548,1955-10,KEN,,
24.5404,1955-11,KEN,,
24.7123,1955-12,KEN,,
24.1316,1956-1,KEN,,
25.1326,1956-2,KEN,,
25.9238,1956-3,KEN,,
25.2221,1956-4,KEN,,
24.3762,1956-5,KEN,,
22.9645,1956-6,KEN,,
21.9349,1956-7,KEN,,
